_id,dia,hora,humedad,norhum,nortemp,salidae,salidar,salidav,temperatura
630f7b64386f43b83cd15c31,Wednesday,10:16:52,49,-1,0,1,-1,-1,37.09
630f7c97386f43b83cd15c33,Wednesday,10:21:59,54.5,-1,0,1,-1,-1,36.65
630f7cb6386f43b83cd15c35,Wednesday,10:22:30,54.5,-1,0,1,-1,-1,36.75
630f7cd5386f43b83cd15c37,Wednesday,10:23:01,54,-1,0,1,-1,-1,36.87
630f7cf4386f43b83cd15c39,Wednesday,10:23:32,54,-1,0,1,-1,-1,37.03
630f7d12386f43b83cd15c3b,Wednesday,10:24:02,54,-1,0,1,-1,-1,37.09
630f7d31386f43b83cd15c3d,Wednesday,10:24:33,54,-1,0,1,-1,-1,37.25
630f7d50386f43b83cd15c3f,Wednesday,10:25:04,54,-1,0,1,-1,-1,37.29
630f7d70386f43b83cd15c41,Wednesday,10:25:36,54,-1,0,1,-1,-1,37.35
630f7d8e386f43b83cd15c43,Wednesday,10:26:06,54,-1,0,1,-1,-1,37.47
630f7dae386f43b83cd15c45,Wednesday,10:26:38,54,-1,0,1,-1,-1,37.53
630f7dcc386f43b83cd15c47,Wednesday,10:27:08,54,-1,0,1,-1,-1,37.59
630f7dea386f43b83cd15c49,Wednesday,10:27:38,54,-1,0,1,-1,-1,37.69
630f7e09386f43b83cd15c4b,Wednesday,10:28:09,54,-1,0,1,-1,-1,37.75
630f7e28386f43b83cd15c4d,Wednesday,10:28:40,54,-1,0,1,-1,-1,37.77
630f7e46386f43b83cd15c4f,Wednesday,10:29:10,54,-1,0,1,-1,-1,37.77
630f7e66386f43b83cd15c51,Wednesday,10:29:42,54,-1,1,1,0,1,37.85
630f7e84386f43b83cd15c53,Wednesday,10:30:12,54.5,-1,1,1,0,1,38.11
630f7ea2386f43b83cd15c55,Wednesday,10:30:42,53.5,-1,0,1,-1,-1,37.53
630f7ec3386f43b83cd15c57,Wednesday,10:31:15,53,-1,0,1,-1,-1,36.65
630f7ee1386f43b83cd15c59,Wednesday,10:31:45,54.5,-1,-1,1,1,0,35.79
630f7f00386f43b83cd15c5b,Wednesday,10:32:16,57,0,-1,-1,1,0,35.35
630f7f1e386f43b83cd15c5d,Wednesday,10:32:46,58.5,0,-1,-1,1,0,35.31
630f7f3c386f43b83cd15c5f,Wednesday,10:33:16,60,0,-1,-1,1,0,35.41
630f7f5b386f43b83cd15c61,Wednesday,10:33:47,59,0,-1,-1,1,0,35.67
630f7f7a386f43b83cd15c63,Wednesday,10:34:18,58.5,0,-1,-1,1,0,35.89
630f7f99386f43b83cd15c65,Wednesday,10:34:49,58,0,-1,-1,1,0,36.19
630f7fb8386f43b83cd15c67,Wednesday,10:35:20,58,0,-1,-1,1,0,36.43
